period,user_id,daily_pageviews
2018-09-24T00:00:00Z,645,19
2018-09-25T00:00:00Z,645,11
2018-09-26T00:00:00Z,645,4
2018-10-01T00:00:00Z,645,12
2018-10-03T00:00:00Z,645,8
2018-10-07T00:00:00Z,645,18
2018-10-08T00:00:00Z,645,9
2018-10-09T00:00:00Z,645,1
2018-10-10T00:00:00Z,645,4
2018-10-11T00:00:00Z,645,1
2018-10-14T00:00:00Z,645,1
2018-10-15T00:00:00Z,645,3
2018-10-16T00:00:00Z,645,10
2018-10-17T00:00:00Z,645,2
2018-10-20T00:00:00Z,645,25
2018-10-21T00:00:00Z,645,16
2018-10-22T00:00:00Z,645,41
2018-10-23T00:00:00Z,645,34
2018-10-24T00:00:00Z,645,3
2018-10-25T00:00:00Z,645,6
2018-10-30T00:00:00Z,645,2
2018-11-01T00:00:00Z,645,2
2018-11-07T00:00:00Z,645,5
2018-11-13T00:00:00Z,645,1
2018-09-10T00:00:00Z,657,1
2018-09-19T00:00:00Z,657,26
2018-09-20T00:00:00Z,657,6
2018-09-24T00:00:00Z,657,1
2018-09-26T00:00:00Z,657,11
2018-10-01T00:00:00Z,657,6
2018-10-02T00:00:00Z,657,36
2018-10-03T00:00:00Z,657,1
2018-10-05T00:00:00Z,657,15
2018-10-09T00:00:00Z,657,51
2018-10-15T00:00:00Z,657,6
2018-10-16T00:00:00Z,657,6
2018-10-17T00:00:00Z,657,3
2018-10-23T00:00:00Z,657,11
2018-10-24T00:00:00Z,657,5
2018-10-30T00:00:00Z,657,13
2018-11-02T00:00:00Z,657,20
2018-11-04T00:00:00Z,657,1
2018-11-12T00:00:00Z,657,16
2018-11-13T00:00:00Z,657,2
2018-09-16T00:00:00Z,818,35
2018-09-19T00:00:00Z,818,1
2018-09-23T00:00:00Z,818,1
2018-09-25T00:00:00Z,818,4
2018-09-27T00:00:00Z,818,2
2018-10-01T00:00:00Z,818,19
2018-10-02T00:00:00Z,818,22
2018-10-07T00:00:00Z,818,39
2018-10-08T00:00:00Z,818,8
